JenisKelamin,StatusPernikahan,JumTanggungan,Wiraswasta,IncomeNasabah,IncomePasangan,JumlahPinjaman,JangkaWaktuPinjaman,riwayat_pinjaman,Pendidikan_Tinggi,Wilayah_Tempat_Tinggal,StatusPinjaman
Laki-laki,Belum Menikah,0,Tidak,5849,0,128.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,4583,1508,128.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Ya,3000,0,66.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2583,2358,120.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,6000,0,141.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Ya,5417,4196,267.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2333,1516,95.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,3036,2504,158.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,4006,1526,168.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,12841,10968,349.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,3200,700,70.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,2500,1840,109.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3073,8106,200.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,1853,2840,114.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,1299,1086,17.0,120.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4950,0,125.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,1,Tidak,3596,0,100.0,240.0,memenuhi,Ya,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,3510,0,76.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,4887,0,133.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2600,3500,115.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,7660,0,104.0,360.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,5955,5625,315.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2600,1911,116.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,3365,1917,112.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,3717,2925,151.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Ya,9560,0,191.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2799,2253,122.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,4226,1040,110.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,1442,0,35.0,360.0,memenuhi,Ya,perkotaan,Tidak
Wanita,Belum Menikah,2,Tidak,3750,2083,120.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,4166,3369,201.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,3167,0,74.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Belum Menikah,1,Ya,4692,0,106.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3500,1667,114.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,3,Tidak,12500,3000,320.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2275,2067,128.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,1828,1330,100.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Wanita,Sudah Menikah,0,Tidak,3667,1459,144.0,360.0,memenuhi,Tidak,pedesaan,Ya
